age,deathrate
19.068493,92.825401
19.150684,95.100739
19.232876,92.144295
19.315069,88.427757
19.397261,88.704941
19.479452,90.191788
19.561644,96.220306
19.643835,89.615555
19.726027,93.381699
19.80822,90.857956
19.890411,95.81015
19.972603,94.158066
20.054794,92.4646
20.136986,98.245598
20.219177,94.960403
20.301371,93.385323
20.383562,90.120918
20.465754,92.406227
20.547945,93.354485
20.630136,92.228783
20.712328,92.332245
20.794521,92.667511
20.876713,93.390198
20.958904,94.269913
21.041096,105.26835
21.123287,101.06651
21.205479,96.966522
21.287672,102.8269
21.369864,100.97943
21.452055,101.23695
21.534246,99.497597
21.616438,95.201309
21.698629,97.258247
21.780823,98.928726
21.863014,102.26221
21.945206,96.833374
22.027397,99.501968
22.109589,96.072289
22.19178,95.968208
22.273973,98.610672
22.356165,97.952469
22.438356,97.411728
22.520548,97.509476
22.602739,95.562393
22.684931,97.023064
22.767124,99.374573
22.849316,94.315308
22.931507,97.397644
